ID,target,oof_prediction,oof_catboost,oof_xgboost,oof_lightgbm_goss
ID_C1DF84C4D2,1,0.33298604928382347,0.30568302,0.3554685,0.33780602
ID_CB8B764D76,0,0.00506360824821183,0.007957063,0.003675205,0.0035586208
ID_D40D58FC67,1,0.23369775692144873,0.24755152,0.19267409,0.26086798
ID_CFD8F26581,0,0.015123435049112706,0.017482167,0.013798192,0.014089998
ID_20EB501231,0,0.013252430353027799,0.012169336,0.016085055,0.011502876
ID_B27891AEB8,0,0.03906795722859924,0.04150876,0.0403007,0.035394464
ID_71C6CD040B,0,0.016655353671171883,0.015925251,0.017883828,0.016156966
ID_D19A5EF71B,0,0.013248002360397157,0.015049583,0.013249139,0.011445324
ID_A7718EDB3F,0,0.04095492734149626,0.031159483,0.044398803,0.04730628
ID_DABF033C98,0,0.026504566815719402,0.04557088,0.014913757,0.019029483
ID_F02570318C,0,0.07080233750454759,0.06527844,0.08274714,0.06438131
ID_237EA41E63,0,0.32110231345583307,0.359864,0.2849339,0.3185099
ID_902E0AC97B,0,0.3164766077518897,0.27891588,0.29925472,0.3712584
ID_97559A90F0,0,0.01673260053517738,0.014957068,0.01794046,0.017300235
ID_23238C1F33,0,0.3600503677374344,0.27185702,0.35591054,0.4523816
ID_0A14D13129,0,0.2401020571801488,0.1695454,0.25542358,0.29533565
ID_449812DFA0,1,0.7383341179095144,0.7847075,0.72868824,0.70160764
ID_E61F9E7093,1,0.8523516108903341,0.85152864,0.8403027,0.86522347
ID_9CD84BF7F4,1,0.8786090636784635,0.88379055,0.8846862,0.8673506
ID_F715874191,0,0.39800746765546924,0.33896115,0.41676924,0.43829072
ID_968E687FD3,1,0.13975130300717992,0.14931071,0.1459702,0.12397321
ID_A2FA003796,0,0.0090740419216214,0.010423079,0.007882509,0.008916567
ID_F9517D6CCA,0,0.33009659677019954,0.27368113,0.32921466,0.38739276
ID_541755490C,0,0.25059893563268343,0.27583677,0.23536164,0.24059896
ID_BF1A4789AF,0,0.6009376433980036,0.603867,0.6040886,0.5948574
ID_233832B6A2,0,0.00563627159906556,0.0066445083,0.00503932,0.005225009
ID_4A473E98D3,0,0.03036325018401119,0.026669318,0.030676281,0.03374407
ID_37D5B98B07,0,0.007532944238130579,0.011731488,0.005825419,0.0050420184
ID_29DACE6454,0,0.08066132343806692,0.08205057,0.07440538,0.08552805
ID_A1BCCDFC55,0,0.39600602484380615,0.44892344,0.34416732,0.3949285
ID_5BAC858292,1,0.6398826494435194,0.58510035,0.6766312,0.6579152
ID_A6793C0F93,0,0.040250599409058264,0.03923787,0.041279305,0.0402346
ID_373FAED478,0,0.03296578479679811,0.030734532,0.03760733,0.030555442
ID_FADBD63AF9,1,0.02464571800271288,0.027126342,0.020595469,0.026215399
ID_8951D1AE95,0,0.005482625016245388,0.0071172025,0.0037154916,0.005615217
ID_FD733C7A46,0,0.020540430482966564,0.023953186,0.020875162,0.016793018
ID_7D0524DF43,0,0.0069199357879664095,0.009164706,0.0057504983,0.0058446527
ID_F1D2BEF0D1,0,0.029149677601190086,0.04329369,0.023303255,0.0208524
ID_F866F25CF7,0,0.009080180220320927,0.010024565,0.009127086,0.00808891
ID_C46585589F,1,0.9698747748845277,0.97326016,0.9738789,0.9624853
ID_3D583A0CEE,0,0.03703209935191175,0.037243117,0.032103848,0.04174934
ID_E30FE7C428,0,0.03737318473330893,0.05131648,0.03125036,0.029553019
ID_DB297C9771,0,0.006750019314396672,0.0095366305,0.005441288,0.005272201
ID_A9E34366EA,0,0.004849914971542219,0.005774047,0.0043442845,0.0044314335
ID_CBBDC2CAE9,0,0.03237408318355688,0.0158407,0.04273108,0.038550105
ID_62D790F239,0,0.024746275633813045,0.035866473,0.020194143,0.018178456
ID_E57EC88F44,0,0.0107032130378504,0.015341431,0.008790332,0.007977978
ID_59CD30E224,0,0.022190273469324045,0.027593436,0.018937157,0.020040346
ID_C8AC299692,0,0.029343210833455997,0.038923204,0.026863294,0.022243345
ID_4514382168,0,0.1586518383206105,0.1912377,0.14626878,0.13844974
ID_354906FCE9,0,0.0112464665135285,0.012043707,0.011772265,0.009923445
ID_28F61D8856,1,0.5518906637812092,0.5915594,0.47866943,0.58544403
ID_2F92AC9A6B,0,0.004712759346537779,0.006893859,0.0036517258,0.0035927414
ID_E5C56ADEB0,0,0.0208510647109913,0.022775574,0.020845534,0.018932128
ID_FC2D43B280,1,0.8966316556075404,0.9349129,0.8810148,0.87396806
ID_B648BBB4E4,0,0.03325196999341158,0.04051878,0.03152081,0.02771648
ID_A7C5442366,0,0.10234786058410388,0.145428,0.08771648,0.073900044
ID_4EFB3223D1,0,0.6920789566354101,0.76130205,0.6577093,0.65722704
ID_EFC14D0E7A,0,0.09376365140582879,0.10061278,0.090925984,0.08975234
ID_2D9AB13D4A,0,0.0961460321780496,0.0974178,0.08787834,0.103141986
ID_472254CCDA,1,0.8169781461268393,0.85910267,0.8038042,0.7880285
ID_A9D560C0AD,0,0.011360008879793583,0.011485388,0.0110352645,0.011559377
ID_A6CFBAC71E,0,0.04477911334081431,0.044972513,0.04869044,0.040674392
ID_F95C00D470,0,0.006309036561560928,0.010735556,0.003765951,0.0044257008
ID_963DBE24E0,0,0.02835045164335928,0.043472365,0.022396648,0.019182675
ID_1C1E76012A,0,0.015100635760647196,0.027389186,0.009089921,0.008823072
ID_CD67555F94,0,0.02061892124194086,0.034825142,0.013963704,0.01306823
