ID,target,oof_prediction,oof_catboost,oof_xgboost,oof_lightgbm_goss
ID_C1DF84C4D2,1,0.33671865284817803,0.32484952,0.44869503,0.34499988
ID_CB8B764D76,0,0.007802245979775945,0.008239924,0.0036730831,0.003719488
ID_D40D58FC67,1,0.24150933787367349,0.24461453,0.21221422,0.23413831
ID_CFD8F26581,0,0.019293146306147993,0.019609587,0.016307764,0.016064152
ID_20EB501231,0,0.012684589884719714,0.012266369,0.016630193,0.012833067
ID_B27891AEB8,0,0.03714378799529044,0.03679699,0.04041556,0.040478613
ID_71C6CD040B,0,0.01722290445709944,0.017048715,0.018866254,0.020423805
ID_D19A5EF71B,0,0.015953620892680504,0.01614362,0.014161122,0.011267143
ID_A7718EDB3F,0,0.033280443145908514,0.03262111,0.03950074,0.049866498
ID_DABF033C98,0,0.04247354135420421,0.04532258,0.015595019,0.02119554
ID_F02570318C,0,0.06396383944543087,0.06155299,0.08670839,0.059150133
ID_237EA41E63,0,0.3496523335158874,0.35381833,0.31034932,0.30479625
ID_902E0AC97B,0,0.2729700806225271,0.26940134,0.30663845,0.33707595
ID_97559A90F0,0,0.01291135527092575,0.012369105,0.018027082,0.017010042
ID_23238C1F33,0,0.2341649333506455,0.22651003,0.30638316,0.42558923
ID_0A14D13129,0,0.1622395248770379,0.15510502,0.22954817,0.2620283
ID_449812DFA0,1,0.7727458202547103,0.78280973,0.67780036,0.66379005
ID_E61F9E7093,1,0.843905305908333,0.8446851,0.83654875,0.8310059
ID_9CD84BF7F4,1,0.8881399470120821,0.8895218,0.8751034,0.864964
ID_F715874191,0,0.36427229005215817,0.3601904,0.40278193,0.5196642
ID_968E687FD3,1,0.146264718154372,0.14762135,0.13346593,0.14685135
ID_A2FA003796,0,0.01104649631260242,0.011088478,0.010650427,0.008803996
ID_F9517D6CCA,0,0.2928307976769656,0.28875494,0.33128345,0.34725237
ID_541755490C,0,0.29478642805446187,0.30053568,0.24054657,0.25930676
ID_BF1A4789AF,0,0.6089069411011399,0.6107595,0.5914295,0.65285844
