ID,target,oof_prediction,oof_catboost
ID_C1DF84C4D2,1,0.4054604,0.4054604
ID_CB8B764D76,0,0.008576916,0.008576916
ID_D40D58FC67,1,0.2570053,0.2570053
ID_CFD8F26581,0,0.016970824,0.016970824
ID_20EB501231,0,0.009713171,0.009713171
ID_B27891AEB8,0,0.024434008,0.024434008
ID_71C6CD040B,0,0.019037023,0.019037023
ID_D19A5EF71B,0,0.01654686,0.01654686
ID_A7718EDB3F,0,0.034663163,0.034663163
ID_DABF033C98,0,0.04815907,0.04815907
ID_F02570318C,0,0.06670527,0.06670527
ID_237EA41E63,0,0.41858596,0.41858596
ID_902E0AC97B,0,0.2873423,0.2873423
ID_97559A90F0,0,0.014338749,0.014338749
ID_23238C1F33,0,0.28795838,0.28795838
ID_0A14D13129,0,0.11803489,0.11803489
ID_449812DFA0,1,0.7895992,0.7895992
ID_E61F9E7093,1,0.86282843,0.86282843
ID_9CD84BF7F4,1,0.8617785,0.8617785
ID_F715874191,0,0.39466444,0.39466444
ID_968E687FD3,1,0.15923819,0.15923819
ID_A2FA003796,0,0.008767826,0.008767826
ID_F9517D6CCA,0,0.32798892,0.32798892
ID_541755490C,0,0.2228171,0.2228171
ID_BF1A4789AF,0,0.69197506,0.69197506
ID_233832B6A2,0,0.0051493263,0.0051493263
ID_4A473E98D3,0,0.028397374,0.028397374
ID_37D5B98B07,0,0.015629685,0.015629685
ID_29DACE6454,0,0.07370966,0.07370966
ID_A1BCCDFC55,0,0.47000697,0.47000697
ID_5BAC858292,1,0.6238137,0.6238137
ID_A6793C0F93,0,0.04287694,0.04287694
ID_373FAED478,0,0.02900384,0.02900384
ID_FADBD63AF9,1,0.050642528,0.050642528
ID_8951D1AE95,0,0.007813171,0.007813171
ID_FD733C7A46,0,0.021205526,0.021205526
ID_7D0524DF43,0,0.0071674082,0.0071674082
ID_F1D2BEF0D1,0,0.044404488,0.044404488
ID_F866F25CF7,0,0.010401712,0.010401712
ID_C46585589F,1,0.97191304,0.97191304
ID_3D583A0CEE,0,0.038566027,0.038566027
ID_E30FE7C428,0,0.048539463,0.048539463
ID_DB297C9771,0,0.00893825,0.00893825
ID_A9E34366EA,0,0.003970863,0.003970863
ID_CBBDC2CAE9,0,0.01521868,0.01521868
ID_62D790F239,0,0.0382339,0.0382339
ID_E57EC88F44,0,0.0142743625,0.0142743625
ID_59CD30E224,0,0.028387498,0.028387498
ID_C8AC299692,0,0.026808014,0.026808014
ID_4514382168,0,0.18418676,0.18418676
ID_354906FCE9,0,0.011679513,0.011679513
ID_28F61D8856,1,0.5136857,0.5136857
ID_2F92AC9A6B,0,0.00790717,0.00790717
ID_E5C56ADEB0,0,0.024550786,0.024550786
ID_FC2D43B280,1,0.9362366,0.9362366
ID_B648BBB4E4,0,0.04352606,0.04352606
ID_A7C5442366,0,0.16251305,0.16251305
ID_4EFB3223D1,0,0.77764225,0.77764225
ID_EFC14D0E7A,0,0.11747976,0.11747976
ID_2D9AB13D4A,0,0.09297109,0.09297109
ID_472254CCDA,1,0.8470865,0.8470865
ID_A9D560C0AD,0,0.013851227,0.013851227
ID_A6CFBAC71E,0,0.04495479,0.04495479
ID_F95C00D470,0,0.008935893,0.008935893
ID_963DBE24E0,0,0.040293578,0.040293578
ID_1C1E76012A,0,0.030793611,0.030793611
ID_CD67555F94,0,0.036564134,0.036564134
ID_68EEED7F70,0,0.11418162,0.11418162
ID_953DA63EA0,0,0.06235791,0.06235791
ID_DCAFA4E0DA,0,0.08675921,0.08675921
ID_3BEAB34638,0,0.0072094556,0.0072094556
ID_EA56384665,0,0.008954444,0.008954444
ID_637AB592A5,1,0.8570449,0.8570449
ID_B0F1794098,0,0.02098095,0.02098095
ID_2FC57EAB2E,1,0.87219024,0.87219024
ID_FD843A3F5D,0,0.17956477,0.17956477
ID_0B0B49790E,0,0.012006676,0.012006676
ID_01745A3887,0,0.026016029,0.026016029
ID_95C740413B,1,0.8839933,0.8839933
ID_0B0BF8FB48,0,0.13599415,0.13599415
ID_88B5AB8373,0,0.13384134,0.13384134
ID_0CE82F1F3D,0,0.64583045,0.64583045
ID_223F338B99,0,0.008196707,0.008196707
ID_FA2F24DFCF,0,0.014063477,0.014063477
ID_AEDF10D041,0,0.028331628,0.028331628
ID_821D269AC6,1,0.20064178,0.20064178
ID_15B31D0121,0,0.055085357,0.055085357
ID_FEA5D773FD,0,0.0074879634,0.0074879634
ID_0BE78E056B,0,0.073156424,0.073156424
ID_C4D5DA8874,0,0.014416077,0.014416077
ID_5C3EA0AA45,0,0.5669028,0.5669028
ID_BD0B58C6C6,1,0.9559629,0.9559629
ID_4987E90722,0,0.32256958,0.32256958
ID_2A614B971A,1,0.3204393,0.3204393
ID_F9937021D0,0,0.13923554,0.13923554
ID_86681608C9,0,0.016980533,0.016980533
ID_EF889C9F80,0,0.007708593,0.007708593
ID_CA37876ED3,0,0.040424306,0.040424306
ID_6B5E233587,0,0.088714056,0.088714056
ID_175F60E553,0,0.014000983,0.014000983
ID_3165B056FF,0,0.012320319,0.012320319
ID_1CD4F4AD73,1,0.96175236,0.96175236
ID_A89D6D461E,0,0.45282978,0.45282978
ID_CADC3FD90F,0,0.08638788,0.08638788
ID_C844821C10,0,0.044005785,0.044005785
ID_A4FD0FABB5,1,0.25510144,0.25510144
ID_FA09216064,0,0.052240595,0.052240595
ID_B178E53536,0,0.005787807,0.005787807
ID_65717E0BA9,0,0.013958254,0.013958254
