ID,target,oof_prediction,oof_catboost,oof_xgboost,oof_lightgbm_goss,oof_hist_gbm
ID_C1DF84C4D2,1,0.3164306651568433,0.30017367,0.41236034,0.36876228,0.3369513
ID_CB8B764D76,0,0.00873659261928202,0.00958588,0.004131703,0.0049246876,0.005947683
ID_D40D58FC67,1,0.21933218439772537,0.2227919,0.18721531,0.23922008,0.23933737
ID_CFD8F26581,0,0.01776419480183956,0.018714493,0.01249199,0.01381608,0.022584455
ID_20EB501231,0,0.013770933041196535,0.0135335615,0.015441194,0.013820318,0.0127348555
ID_B27891AEB8,0,0.033733343919272143,0.034214474,0.03152193,0.030520478,0.03948511
ID_71C6CD040B,0,0.02012972390876193,0.01901731,0.025713572,0.026309691,0.034486163
ID_D19A5EF71B,0,0.014400709964427293,0.014881454,0.010986292,0.0143846525,0.017923966
ID_A7718EDB3F,0,0.04315845896107869,0.042873975,0.04189828,0.051866043,0.075607575
ID_DABF033C98,0,0.05420648391958405,0.06217152,0.012322344,0.01500246,0.025107704
ID_F02570318C,0,0.06952918044006529,0.06799098,0.08424113,0.059539795,0.1026656
ID_237EA41E63,0,0.3568390659246527,0.37011957,0.2884527,0.28762996,0.34303162
ID_902E0AC97B,0,0.32162662563297917,0.31841525,0.31772676,0.39254525,0.30494586
ID_97559A90F0,0,0.01564084393747851,0.014842887,0.01952046,0.020407373,0.021720683
ID_23238C1F33,0,0.3469157056920208,0.33283654,0.3977864,0.4776299,0.43955508
ID_0A14D13129,0,0.22041520169550194,0.2106659,0.2602756,0.29864302,0.30444002
ID_449812DFA0,1,0.7482565051349157,0.75804585,0.683961,0.7340582,0.7077957
ID_E61F9E7093,1,0.871994744629249,0.8758254,0.84575033,0.86931545,0.7937501
ID_9CD84BF7F4,1,0.8456612436439428,0.84165734,0.86982137,0.85713464,0.7845585
ID_F715874191,0,0.3677054753631217,0.35874328,0.39396667,0.4671409,0.38834134
ID_968E687FD3,1,0.17072319807788772,0.1811914,0.104686975,0.14833416,0.09919698
ID_A2FA003796,0,0.010670150849076555,0.011249464,0.008098733,0.0065596593,0.0115102315
ID_F9517D6CCA,0,0.2504096304103598,0.23847425,0.29242918,0.36415076,0.31902376
ID_541755490C,0,0.26876207256121415,0.2738244,0.25687042,0.2047954,0.20473146
ID_BF1A4789AF,0,0.6437085666968823,0.64220786,0.66374475,0.61889577,0.6391445
ID_233832B6A2,0,0.006555870594575244,0.0068184487,0.0053447485,0.004813678,0.0076584085
ID_4A473E98D3,0,0.02743918385171037,0.027120257,0.029675202,0.027527029,0.035716776
ID_37D5B98B07,0,0.014492837460103306,0.01577341,0.007598672,0.008614775,0.0099766245
ID_29DACE6454,0,0.08231021160256041,0.08713237,0.05301742,0.06900955,0.06276237
ID_A1BCCDFC55,0,0.4741785567088807,0.50049216,0.31004146,0.41297874,0.44969377
ID_5BAC858292,1,0.6183761537414232,0.6097707,0.6534868,0.68761927,0.691587
ID_A6793C0F93,0,0.049698303052753384,0.050894633,0.044848602,0.039988894,0.053465527
ID_373FAED478,0,0.02886597397384326,0.028748125,0.027492,0.034731884,0.027574562
ID_FADBD63AF9,1,0.03714937545995984,0.039490648,0.024020076,0.027793616,0.022560336
ID_8951D1AE95,0,0.006114009785922183,0.0067075,0.002671654,0.004045197,0.006372106
ID_FD733C7A46,0,0.02192729735283536,0.022818243,0.01741744,0.01707759,0.02169898
ID_7D0524DF43,0,0.0061508954915804985,0.006575037,0.0037114595,0.0046176226,0.0073552984
ID_F1D2BEF0D1,0,0.04293783060192295,0.047918126,0.016720073,0.018501287,0.02107553
ID_F866F25CF7,0,0.010604966515858285,0.0105805015,0.009793465,0.013218005,0.010419287
ID_C46585589F,1,0.9623568521723592,0.9614337,0.96896094,0.9622615,0.9462393
ID_3D583A0CEE,0,0.03552683239266334,0.034467842,0.039420664,0.045179773,0.048716728
ID_E30FE7C428,0,0.03681754763410039,0.039740715,0.020288423,0.025498942,0.03242792
ID_DB297C9771,0,0.008182752057897287,0.008852157,0.004157929,0.0062261955,0.008976536
ID_A9E34366EA,0,0.005143641467762391,0.0052999905,0.004173023,0.004767692,0.006413222
ID_CBBDC2CAE9,0,0.018821895423735902,0.015601714,0.03650171,0.03269251,0.02967543
ID_62D790F239,0,0.03297586944830954,0.03536742,0.02056602,0.020764152,0.022571512
ID_E57EC88F44,0,0.011231500447826856,0.012258832,0.0055601415,0.006888511,0.010985428
ID_59CD30E224,0,0.023066567308490143,0.024016915,0.017085964,0.0209957,0.029473094
ID_C8AC299692,0,0.028849155242464182,0.02896867,0.027998691,0.028849488,0.041395966
ID_4514382168,0,0.1745979451461214,0.1798978,0.14427356,0.15502116,0.21893436
ID_354906FCE9,0,0.01154713032061188,0.0113864625,0.012097563,0.013118587,0.017182207
